POLO;recursos;alt_media;regiones;region_top;jerarquia_media;diametro_km;radio_km;desnivel_m
83;30;3954.766666666667;1;Cusco;1.6666666666666667;67.80420684814453;26.066464310764918;883.0
84;16;1480.6875;2;Cusco;1.0;53.54805374145508;11.021933235392307;723.0
85;25;3.92;1;Piura;1.92;71.63713836669922;23.9433332529469;23.0
86;58;927.3275862068965;2;San Martín;1.5172413793103448;61.64942169189453;16.61381314686268;738.0
87;6;4282.5;1;Puno;1.5;63.89472579956055;22.765123263857816;196.0
88;14;3803.285714285714;1;Apurímac;1.5;64.08413696289062;20.91741246601918;597.0
89;8;3032.75;2;Cajamarca;1.875;59.15653991699219;22.10683893015706;968.0
90;11;706.4545454545455;2;Huánuco;1.0;52.201473236083984;17.591106009780983;609.0
91;10;259.4;1;Madre De Dios;1.1;63.99504852294922;27.312162600069456;52.0
92;19;2651.0;1;Cajamarca;1.4210526315789473;69.052978515625;20.185366627643802;753.0
93;14;3270.0;1;Ayacucho;1.0714285714285714;49.89970779418945;17.51870286256809;1040.0
94;34;851.0588235294117;1;Junín;1.588235294117647;53.8798713684082;16.21459553409177;910.0
95;8;4329.625;1;Apurímac;1.0;44.849002838134766;10.948810137822536;670.0
96;51;1899.2745098039215;1;Pasco;1.588235294117647;45.40345001220703;8.633492878595717;757.0
97;13;3144.153846153846;1;Moquegua;1.8461538461538463;11.162955284118652;3.773981280901184;780.0
98;74;2701.864864864865;1;Ayacucho;1.5135135135135136;44.91126251220703;12.617218952318513;653.0
99;97;28.989690721649485;2;Lambayeque;1.597938144329897;63.36971664428711;15.775121142524371;280.0
100;15;4209.6;1;Áncash;3.3333333333333335;51.19778823852539;13.171670722304235;773.0
101;7;856.0;1;San Martín;1.7142857142857142;38.02163314819336;14.592667001927083;903.0
102;9;3745.4444444444443;1;Puno;1.0;39.314998626708984;12.898917910910997;764.0
103;7;4419.714285714285;1;Cusco;2.142857142857143;52.14853286743164;19.281431675481645;830.0
104;32;3788.59375;1;Lima;2.03125;52.79703140258789;12.569973350169446;511.0
105;38;290.5263157894737;1;Lima;1.5526315789473684;51.482154846191406;19.04120495169502;720.0
106;22;149.8181818181818;1;Arequipa;1.3636363636363635;56.31010055541992;22.147035452934393;462.0
107;6;3315.8333333333335;2;Ayacucho;1.3333333333333333;33.85792541503906;11.17012121085415;442.0
108;14;2432.0;1;La Libertad;1.7857142857142858;39.218116760253906;13.380859018058516;758.0
109;13;187.0;1;Loreto;1.5384615384615385;46.08393859863281;12.925131805809475;234.0
110;16;4612.5625;2;Lima;1.0625;41.48419189453125;11.570412359292819;521.0
111;23;690.0434782608696;1;Junín;1.9130434782608696;38.31647872924805;9.33902216432422;648.0
112;6;6216.333333333333;1;Áncash;2.3333333333333335;54.58685302734375;13.901375154937393;640.0
113;12;1722.5;1;Arequipa;1.0;32.82139205932617;5.928629819213598;645.0
114;13;3548.6153846153848;1;Junín;2.3846153846153846;37.480552673339844;11.637188934711222;847.0
115;45;1333.5333333333333;2;Moquegua;1.4666666666666666;59.84524917602539;15.04967777823418;622.0
116;13;4564.076923076923;2;Lima;1.6923076923076923;56.465877532958984;19.793804068851976;669.0
117;29;19.24137931034483;1;Piura;1.3793103448275863;44.621517181396484;12.986948138481107;88.0
120;12;96.75;1;Arequipa;1.5833333333333333;57.909236907958984;23.743087395308724;265.0
121;42;33.92857142857143;1;Tumbes;1.9523809523809523;64.23677825927734;17.394006511603965;295.0
122;16;2653.1875;1;Piura;1.6875;54.2035026550293;19.131437489085243;942.0
123;7;277.0;2;Ucayali;1.8571428571428572;65.51666259765625;22.583454170154646;92.0
124;7;3848.714285714286;2;Apurímac;1.5714285714285714;41.497467041015625;16.075167410363573;786.0
125;35;22.2;1;Piura;1.8;60.43315887451172;18.45707476375487;36.0
126;14;3594.8571428571427;2;Huánuco;1.4285714285714286;52.44453811645508;14.782513568982255;808.0
128;22;3935.4545454545455;1;Puno;1.3636363636363635;66.43766784667969;16.25992130764958;297.0
129;10;206.2;2;Madre De Dios;2.1;54.199214935302734;16.538966308155334;94.0
131;12;498.8333333333333;2;Puno;1.4166666666666667;48.9524040222168;16.40885412668535;530.0
132;7;2594.0;1;Piura;1.4285714285714286;30.026330947875977;9.029503379745645;790.0
133;18;1320.0555555555557;1;Cajamarca;1.0555555555555556;40.227298736572266;11.962985806231854;754.0
134;7;3422.285714285714;2;Áncash;2.4285714285714284;30.587093353271484;11.285260599376496;127.0
135;13;235.0;1;Lambayeque;1.2307692307692308;35.4387321472168;11.039409558413071;632.0
136;12;689.8333333333334;1;Arequipa;1.3333333333333333;27.65717315673828;5.256111054039285;723.0
137;35;4647.057142857143;1;Cusco;2.0;55.73619842529297;12.887826894592681;1021.0
138;17;4080.0588235294117;1;Cusco;1.5294117647058822;61.317386627197266;16.851893460020854;851.0
139;46;55.28260869565217;1;La Libertad;2.260869565217391;60.8590087890625;7.8098910489012505;629.0
140;34;3912.3823529411766;1;Puno;1.9705882352941178;69.53153228759766;17.935092581892043;486.0
141;12;376.0;1;Cusco;2.75;66.42095947265625;26.309860021115668;157.0
142;5;3472.4;1;Puno;1.8;41.446163177490234;13.763549992805753;270.0
