REGIÓN;PROVINCIA;DISTRITO;CODIGO DEL RECURSO;NOMBRE DEL RECURSO;CATEGORÍA;TIPO DE CATEGORÍA;SUB TIPO CATEGORÍA;URL;longitud;latitud;FECHA_DE_CORTE;ALTITUD;DISTANCIA_CAPITAL_KM;INDICE_COSTO_LOGISTICO;ZONA_CLIMATICA
Loreto;Maynas;IQUITOS;149;Ex Colegio San Agustín;2. MANIFESTACIONES CULTURALES;Arquitectura y Espacios Urbanos;Escuela o Colegio;https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=149;-73.24255010649344;-3.74898505882912;20260831;103.0;0.19;1;Tropical Húmedo (Selva)
Loreto;Maynas;PUNCHANA;150;Mirador De La Comunidad De Independencia - Punchana;2. MANIFESTACIONES CULTURALES;Arquitectura y Espacios Urbanos;Miradores;https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=150;-73.23462;-3.65113;20260831;122.0;10.95;1;Tropical Húmedo (Selva)
Loreto;Maynas;SAN JUAN BAUTISTA;151;Parque Turístico De Quistococha;4. REALIZACIONES TÉCNICAS, CIENTÍFICAS Y ARTÍSTICAS CONTEMPORÁNEAS;Centros Científicos y Técnicos;Zoológicos;https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=151;-73.32069396972656;-3.828286922895427;20260831;93.0;12.22;1;Tropical Húmedo (Selva)
Loreto;Maynas;BELÉN;152;Pueblo De Belén ;2. MANIFESTACIONES CULTURALES;Pueblos;Tradicionales;https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=152;-73.24794;-3.75788;20260831;107.0;1.06;1;Tropical Húmedo (Selva)
Lambayeque;Chiclayo;SAÑA;155;Complejo Arqueológico Huaca Rajada - Sipán;2. MANIFESTACIONES CULTURALES;Sitios Arqueológicos;Templos;https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=155;-79.60093122190898;-6.800793622533838;20260831;87.0;26.7;2;Cálido / Desértico (Costa)
Lambayeque;Chiclayo;PIMENTEL;157;Festival Caballito De Totora;5. ACONTECIMIENTOS PROGRAMADOS;Eventos;Festivales;https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=157;-79.9362;-6.83708;20260831;8.0;12.81;1;Cálido / Desértico (Costa)
Lambayeque;Lambayeque;OLMOS;159;Quebrada De Los Boliches O Petroglifos Los Pipochinos;2. MANIFESTACIONES CULTURALES;Sitios Arqueológicos;Petroglifos (Grabados en piedra);https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=159;-79.681543;-5.98854;20260831;273.0;88.81;3;Cálido / Desértico (Costa)
Lambayeque;Chiclayo;ETEN PUERTO;161;Centenario Muelle De Puerto Eten;2. MANIFESTACIONES CULTURALES;Arquitectura y Espacios Urbanos;Muelles;https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=161;-79.86669;-6.93414;20260831;0.0;18.32;1;Cálido / Desértico (Costa)
Lambayeque;Chiclayo;REQUE;162;Semana Santa En Reque;5. ACONTECIMIENTOS PROGRAMADOS;Fiestas;Fiestas religiosas-patronales;https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=162;-79.8181;-6.86449;20260831;24.0;10.65;1;Cálido / Desértico (Costa)
Lambayeque;Lambayeque;LAMBAYEQUE;163;Complejo Arqueologico Chotuna-Chornancap;2. MANIFESTACIONES CULTURALES;Sitios Arqueológicos;Zonas arqueológicas;https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=163;-79.96875;-6.71949;20260831;8.0;15.25;1;Cálido / Desértico (Costa)
