CODIGO DEL RECURSO;NOMBRE DEL RECURSO;REGIÓN;latitud;longitud;ALTITUD;ZONA_CLIMATICA;CLUSTER;CLUSTER_KM
10313;Pueblo De Islandia;Loreto;-4.35336;-70.04114;68.0;Tropical Húmedo (Selva);14;7
10312;Pueblo De San Pablo;Loreto;-4.02039;-71.10348;83.0;Tropical Húmedo (Selva);14;7
10311;Comunidad Huitoto De Pucaurquillo ;Loreto;-3.33382;-71.91743;95.0;Tropical Húmedo (Selva);14;7
10306;Comunidad Bora De Pucaurquillo;Loreto;-3.33309;-71.91572;95.0;Tropical Húmedo (Selva);14;7
10319;Lomas De Amancaes, Bella Durmiente - Área De Conservación Regional Sistema De Lomas De Lima;Lima;-12.006559023483966;-77.04059045767212;395.0;Cálido / Desértico (Costa);-1;9
10310;Isla Santa Rosa;Loreto;-4.2226;-69.95922;70.0;Tropical Húmedo (Selva);14;7
10309;Comunidad Nativa Ticuna Cushillo Cocha;Loreto;-3.940223729657691;-70.45216910784025;73.0;Tropical Húmedo (Selva);14;7
14520;Iglesia Nuestra Señora Del Rosario;Ucayali;-11.137245211513964;-73.04552063346479;282.0;Tropical Húmedo (Selva);59;24
10463;Iglesia Colonial De Huacho;Lima;-10.85859522;-76.83116912;3386.0;Templado Seco (Quechua);48;8
10465;Iglesia San Bartolomé De Curay;Lima;-10.840379;-76.815183;3404.0;Templado Seco (Quechua);48;8
12551;Fuente Termal Encanto De Humo;Loreto;-7.2088705300190385;-74.95143910640536;187.0;Tropical Húmedo (Selva);-1;21
13437;Capilla De San Miguel De Raqchi;Cusco;-14.1735164;-71.370936;3483.0;Templado Seco (Quechua);75;3
13281;Reserva Forestal Montes De La Virgen;Lambayeque;-6.71232;-79.911;19.0;Cálido / Desértico (Costa);5;14
12339;Plaza De Armas De Quilmana;Lima;-12.94934;-76.38351;160.0;Cálido / Desértico (Costa);41;4
12271;Arco De Recepción De Quilmana;Lima;-12.943658505863755;-76.3835488178257;172.0;Cálido / Desértico (Costa);41;4
12723;Sitio Arqueológico De Pueblo Viejo ;Arequipa;-15.760923;-74.45401;20.0;Cálido / Desértico (Costa);50;11
12724;Sitio Arqueológico De Cahuamarca  ;Arequipa;-15.728582;-74.370519;1278.0;Templado Cálido (Yunga);-1;11
12722;Sitio Arqueológico De Ayparipa;Arequipa;-15.8227863;-74.372608;224.0;Cálido / Desértico (Costa);-1;11
12686;Isla Lobera De Ocopa;Arequipa;-15.825935;-74.397996;0.0;Cálido / Desértico (Costa);50;11
12685;Playa Jihuay;Arequipa;-15.830709;-74.363888;6.0;Cálido / Desértico (Costa);50;11
10946;Piscina Natural De Sapani;Ucayali;-10.692993;-73.8612;282.0;Tropical Húmedo (Selva);-1;26
10947;Cueva De Tambo Ushco;Ucayali;-10.722268;-73.805832;285.0;Tropical Húmedo (Selva);-1;26
12380;Sitio Arqueológico Castillo De Cuymalca;Áncash;-8.255762;-78.009105;2830.0;Templado Seco (Quechua);49;28
10948;Caída De La Quinceañera - Unini;Ucayali;-10.628320711979276;-73.95952720642089;245.0;Tropical Húmedo (Selva);-1;26
14370;Reserva Comunal Purús - Sector Río La Novia;Ucayali;-10.182545528893511;-71.3766757096164;319.0;Tropical Húmedo (Selva);-1;24
13740;Laguna Kankasica  San Andrés De Tupicocha;Lima;-12.029349;-76.505179;3154.0;Templado Seco (Quechua);68;0
12815;Laguna De Uchillki;Ayacucho;-13.718789;-74.110154;3107.0;Templado Seco (Quechua);77;23
10982;Laguna Nuevo Angamos;Ucayali;-8.56853;-74.341018;145.0;Tropical Húmedo (Selva);-1;19
11739;Caídas De Agua De La Comunidad Nativa De Kotsimba.;Madre De Dios;-13.14650755022338;-70.30692;415.0;Tropical Húmedo (Selva);51;24
11738;Collpa Barranco Grande De La Comunidad Nativa De Kotsimba.;Madre De Dios;-13.14161;-70.30485;372.0;Tropical Húmedo (Selva);51;24
12080;Comunidad Nativa Santa Rosa De Dinamarca;Ucayali;-8.691948;-74.413265;155.0;Tropical Húmedo (Selva);-1;19
11176;Pueblo Tradicional De Ichocan;Cajamarca;-7.36833;-78.1306;2588.0;Templado Seco (Quechua);45;13
11737;Collpa De Mamíferos De La Comunidad Nativa De Kotsimba;Madre De Dios;-13.072351;-70.295812;516.0;Tropical Húmedo (Selva);51;24
10375;Centro Termal Recreativo Pultumarka;Cajamarca;-7.163874;-78.465525;2657.0;Templado Seco (Quechua);17;2
11466;Laguna Ricuricocha;San Martín;-6.53183786764304;-76.40733665226664;278.0;Cálido / Desértico (Costa);10;25
10366;Catarata El Encuentro;Lima;-11.79487;-76.35979;2849.0;Templado Seco (Quechua);68;0
10365;Catarata De Challape;Lima;-11.859289;-76.408325;2336.0;Templado Seco (Quechua);-1;0
