POLO;recursos;jerarquia;lejania;region;regiones;saturacion;novedad;limpio;s;puntaje
117;29;1.3793103448275863;29;PIURA;1;0.0;0.5530973451327433;True;0.43593661449932425;0.27972230698809886
131;12;1.4166666666666667;12;PUNO;2;0.0;0.5154867256637168;True;0.4144121365360303;0.27964601769911507
32;24;1.375;24;ÁNCASH;1;0.0;0.5420353982300885;True;0.42763906447534766;0.27511061946902654
166;10;1.4;10;CAJAMARCA;1;0.0;0.5110619469026548;True;0.4091719342604298;0.2733185840707964
153;10;1.4;10;PIURA;1;0.0;0.5110619469026548;True;0.4091719342604298;0.2733185840707964
60;25;1.36;25;PIURA;1;0.0;0.5442477876106194;True;0.4272591656131479;0.27127433628318587
34;13;1.3846153846153846;13;TACNA;2;0.0;0.5176991150442478;True;0.4118399299815229;0.2706943498978897
106;22;1.3636363636363635;22;AREQUIPA;1;0.0;0.5376106194690266;True;0.4230806803815653;0.270374094931617
128;22;1.3636363636363635;22;PUNO;1;0.0;0.5376106194690266;True;0.4230806803815653;0.270374094931617
49;5;1.4;5;AREQUIPA;1;0.0;0.5;True;0.4014285714285714;0.26999999999999996
29;12;1.8333333333333333;12;CUSCO;2;0.9166666666666666;0.057153392330383496;False;0.1471502317741256;0.267146017699115
62;21;1.3333333333333333;21;MADRE DE DIOS;1;0.0;0.5353982300884956;True;0.4176359039190898;0.26061946902654864
56;18;1.8333333333333333;18;LIMA;1;1.0;0.028761061946902654;False;0.127275600505689;0.25862831858407076
136;12;1.3333333333333333;12;AREQUIPA;1;0.0;0.5154867256637168;True;0.4036978508217446;0.254646017699115
203;19;1.3157894736842106;19;APURÍMAC;1;0.0;0.5309734513274337;True;0.4122829196886021;0.25402887750349323
257;21;1.7142857142857142;21;CUSCO;2;0.8095238095238095;0.1306363253265908;False;0.18328216242249112;0.25347661188369147
252;6;1.3333333333333333;6;APURÍMAC;1;0.0;0.5022123893805309;True;0.3944058154235145;0.2506637168141592
107;6;1.3333333333333333;6;AYACUCHO;2;0.0;0.5022123893805309;True;0.3944058154235145;0.2506637168141592
17;30;1.2666666666666666;30;AYACUCHO;2;0.0;0.5553097345132744;True;0.4230025284450063;0.24659292035398228
214;19;1.7894736842105263;19;LIMA;1;1.0;0.030973451327433628;False;0.12318517532769979;0.24613414066138795
199;38;1.736842105263158;38;LIMA;1;1.0;0.07300884955752213;False;0.14584303679552865;0.24295528644620398
116;13;1.6923076923076923;13;LIMA;2;0.8461538461538461;0.09462219196732471;False;0.15524652338811634;0.2360789652825051
